,flight_number,origin_station_code,destination_station_code,scheduled_departure_date,question_text,score,satisfaction_type,number_of_legs,driver_sub_group1,driver_sub_group2,generation,ua_uax,actual_flown_miles,haul_type,international_domestic_indicator,ques_verbatim_text,verbatim_text,meal_group,meal_category,meal_short_description,pre_order_qty,planned_entree_count,consumed_entree_count
0,555,DEX,RNX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,2,food & beverage,food and beverage satisfaction,Boomer,UA,804,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,The pretzels were old. the ice gave the Diet Coke a weird taste.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,1,0
1,1626,TPX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,810,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,0
2,1626,TPX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,810,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,0
3,1626,TPX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,810,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,0
4,1626,TPX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,810,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,0
5,1626,TPX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,810,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",ENTREES HOT,BREAKFAST,Scrambled eggs,1,10,0
6,1626,TPX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,810,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",ENTREES HOT,BREAKFAST,Belgium waffle,1,10,0
7,1626,TPX,IAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,1,food & beverage,food and beverage satisfaction,Gen X,UA,810,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",ENTREES HOT,BREAKFAST,Belgium waffle,1,10,0
8,290,IAX,INX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,845,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,The chicken entree was spicy. The drinkable peaches are a “no” for me. I tried them and thought they were gross. Dessert was a fudge filled cookie and it was good!.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,2,0
9,290,IAX,INX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,845,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,The chicken entree was spicy. The drinkable peaches are a “no” for me. I tried them and thought they were gross. Dessert was a fudge filled cookie and it was good!.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,2,0
10,290,IAX,INX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,2,food & beverage,food and beverage satisfaction,Gen X,UA,845,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,The chicken entree was spicy. The drinkable peaches are a “no” for me. I tried them and thought they were gross. Dessert was a fudge filled cookie and it was good!.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,2,0
11,2154,DEX,SNX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Boomer,UA,846,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Having vegetarian/vegan options is a huge step up and MUCH APPRECIATED!!.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,2,2,0
12,2154,DEX,SNX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,2,food & beverage,food and beverage satisfaction,Boomer,UA,846,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Having vegetarian/vegan options is a huge step up and MUCH APPRECIATED!!.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,1,2,0
13,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,3,0
14,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,3,0
15,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,BEEF/VEAL,Brioche cheeseburger,1,3,0
16,348,DEX,SAX,2022-09-09,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,1,food & beverage,food and beverage satisfaction,Boomer,UA,853,Medium,Domestic,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,Chicken was too spicy.,ENTREES HOT,VEGETARIAN,Mediterranean Falafel Bowl,1,1,0
